Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
13/12/22,12.3,28.2,5,ESE,35,16:19,19.7,34,0,W,15,1010.3,27.1,22,0,W,13,1006
14/12/22,11.6,24.1,0,WSW,52,7:59,17.3,50,8,WSW,28,1008.7,23.4,20,2,WSW,22,1005.9
15/12/22,10,24.9,0,SSE,44,17:52,17.9,38,0,SW,20,1008.9,23.5,36,3,SSE,24,1007.5
16/12/22,11.8,22,0.6,S,54,17:09,16.6,51,8,SW,15,1014.8,20.2,41,8,SSE,26,1014.2
17/12/22,11.5,21.8,0,SSE,46,12:06,17.3,54,8,SSW,11,1020.2,20,48,8,SSE,28,1020.1
18/12/22,13.2,21.3,4.2,SSE,59,16:42,16.6,75,8,SSW,17,1022.9,20.3,46,8,S,28,1021.5
19/12/22,13.8,22.6,0.2,SSE,46,14:48,18.1,58,5,SSW,13,1024.4,20.1,52,8,SSE,28,1023.5
20/12/22,12.5,23.1,0,SE,39,15:24,17.3,58,8,SSW,13,1022.9,20.5,45,8,SE,26,1020.1
21/12/22,13.5,23.6,1,ESE,33,12:54,18.2,56,0,SSW,6,1019.6,22.8,40,0,ESE,22,1016.1
22/12/22,13,23.4,0,NNE,26,9:39,19.7,56,4,NNE,13,1016.3,21.9,52,8,ESE,13,1013.9
23/12/22,15.6,31.1,1,ESE,44,13:52,20.7,70,0,WNW,9,1012,27.7,47,1,ESE,33,1008.4
24/12/22,15.9,34.8,0,NE,39,15:28,24.3,54,0,SW,4,1010.1,31.5,35,1,ENE,24,1007.6
25/12/22,18.5,30.6,0,ESE,33,14:04,21.5,74,8,SSW,4,1016.3,29.9,52,0,ESE,20,1014.7
26/12/22,17,32.8,0,ENE,35,14:20,21.7,85,8,ESE,7,1021.5,32,31,0,ENE,24,1019.1
27/12/22,16.9,30.6,0,E,41,12:38,24.4,65,0,E,4,1023.3,30,43,0,ENE,20,1020.3
28/12/22,19.1,31.1,0,ENE,41,14:18,23.9,61,0,N,13,1017,29.5,45,0,E,26,1011.1
29/12/22,19.7,24.3,0,SE,37,3:03,21,74,8,SSE,17,1016.4,23.5,62,5,SE,13,1016.8
30/12/22,17.9,26.1,3,E,33,13:54,19.1,94,8,NW,6,1019.1,25,55,8,E,20,1016.9
31/12/22,17,27.2,0.4,NE,33,12:46,22.5,72,7,SSE,6,1016.8,24.4,62,8,E,17,1014.5
1/1/23,18.8,27.1,5.6,E,37,17:37,21.1,86,8,NE,11,1016.5,26.1,56,2,E,24,1013.9
